ds,yhat,yhat_lower,yhat_upper,recession
1977-11-01,1.4290459386378735,0.6223567371636437,2.22790200537989,Non-recessionary Period
1977-12-01,1.3039544223885955,0.5040299604922611,2.099954765224565,Non-recessionary Period
1978-01-01,1.244386062671017,0.44860073744190515,2.056873986609013,Non-recessionary Period
1978-02-01,1.1900366231544919,0.39593455906032665,1.9966381014441694,Non-recessionary Period
1978-03-01,1.1089944673410987,0.31315424933223845,1.9128421446433086,Non-recessionary Period
1978-04-01,1.0985384288147813,0.2907020139295949,1.903058723902935,Non-recessionary Period
1978-05-01,1.0690081821409636,0.25891945064099,1.8707626696037696,Non-recessionary Period
1978-06-01,0.9346282744332779,0.12735480397057278,1.736130838772248,Non-recessionary Period
1978-07-01,0.7704850814525577,-0.036882864718935565,1.56593447203653,Non-recessionary Period
1978-08-01,0.6251209975999406,-0.1881428438058225,1.4246743478339172,Non-recessionary Period
1978-09-01,0.539825581065326,-0.2611976813444673,1.3375400472088486,Non-recessionary Period
1978-10-01,0.5050114851928746,-0.29045895973667296,1.3027642367163785,Non-recessionary Period
1978-11-01,0.4271367604832309,-0.38286243214930893,1.2297953308910878,Non-recessionary Period
1978-12-01,0.35085012636654656,-0.4624492697013827,1.1627003630197081,Non-recessionary Period
1979-01-01,0.3475045457439497,-0.4439537285861174,1.152695443618332,Non-recessionary Period
1979-02-01,0.3407724264762725,-0.46598627663512854,1.155509154680531,Non-recessionary Period
1979-03-01,0.31101918959091923,-0.48894441838597585,1.1187237926944456,Non-recessionary Period
1979-04-01,0.3515608573017807,-0.4478889636467948,1.1579963177321642,Non-recessionary Period
1979-05-01,0.3712228172620246,-0.4174958682163844,1.1762451657454467,Non-recessionary Period
1979-06-01,0.2947483475440255,-0.5077147420237089,1.0911410283940557,Non-recessionary Period
1979-07-01,0.18283517643053188,-0.6090439259136082,0.9930416250667713,Non-recessionary Period
1979-08-01,0.08760399106791375,-0.7304212390622229,0.905345106318434,Non-recessionary Period
1979-09-01,0.05002302536101691,-0.7519944612491354,0.8701236386131054,Non-recessionary Period
1979-10-01,0.025121930030677295,-0.7805185431555476,0.8333159224912721,Non-recessionary Period
1979-11-01,-0.05574066635755576,-0.8624464875203623,0.7414399022780859,Recessionary Period
1979-12-01,-0.13001065648036297,-0.9294484945427222,0.6737296861729837,Recessionary Period
1980-01-01,-0.1330900718809688,-0.9296515549607842,0.6734870715202388,Recessionary Period
1980-02-01,-0.1407514086549527,-0.9528694124371122,0.6696264122528166,Recessionary Period
1980-03-01,-0.17145639776696445,-0.9775064007150702,0.6455717710302081,Recessionary Period
1980-04-01,-0.12705982341029293,-0.9491565877758819,0.6766966453406228,Recessionary Period
1980-05-01,-0.11313105329191114,-0.9187927216368463,0.7075182118319361,Recessionary Period
1980-06-01,-0.18743803288094385,-0.9969287839670341,0.6092838055545383,Recessionary Period
1980-07-01,-0.2997836093878012,-1.1044270512095873,0.5179958502645611,Recessionary Period
1980-08-01,-0.3943053194828493,-1.2074203092556637,0.41208847588900305,Recessionary Period
1980-09-01,-0.4329530078534522,-1.242789023783669,0.36524944660412795,Recessionary Period
1980-10-01,-0.4579799985682746,-1.2560849337510547,0.34409902854404456,Recessionary Period
1980-11-01,-0.5366029402925075,-1.334526420475905,0.2619527013807734,Recessionary Period
1980-12-01,-0.6116530639258849,-1.4012318352707214,0.1919829343652381,Recessionary Period
1981-01-01,-0.6156838554639151,-1.4338686211355658,0.18425590794272692,Recessionary Period
1981-02-01,-0.5821179171331343,-1.3925924243568202,0.2214590968289015,Recessionary Period
1981-03-01,-0.4495213976214997,-1.2508435460284033,0.36051061713697785,Recessionary Period
1981-04-01,-0.22661609495247048,-1.0205086022927947,0.5929158082136633,Recessionary Period
1981-05-01,-0.038410227444592424,-0.8352296740907056,0.7729201438529586,Recessionary Period
1981-06-01,0.06506687978896246,-0.7500692794579149,0.8637334380483584,Non-recessionary Period
1981-07-01,0.13891619361067267,-0.6618623702980405,0.9422689870104969,Non-recessionary Period
1981-08-01,0.21963505865197042,-0.5840356899598511,1.0332875642110373,Non-recessionary Period
1981-09-01,0.3590115332914236,-0.4504569113344882,1.1670783731472387,Non-recessionary Period
1981-10-01,0.5131643019544933,-0.30118916141809027,1.31901991317381,Non-recessionary Period
1981-11-01,0.6110148726131643,-0.19055550389561218,1.4126949317224335,Non-recessionary Period
1981-12-01,0.7106199087259851,-0.09795817496178155,1.5232842964173876,Non-recessionary Period
1982-01-01,0.8921041046001864,0.0848153891302143,1.7033812903692584,Non-recessionary Period
1982-02-01,1.0487929872802988,0.24369499666711794,1.8570389121682045,Non-recessionary Period
1982-03-01,1.193437896223863,0.39102808401121636,1.9966837699795557,Non-recessionary Period
1982-04-01,1.4242383702670036,0.6185834523922187,2.2309040445193706,Non-recessionary Period
1982-05-01,1.6072043654518726,0.8073406817945035,2.396894558687616,Non-recessionary Period
1982-06-01,1.7109928266137424,0.9060595448423906,2.514550603262126,Non-recessionary Period
1982-07-01,1.782317942376947,0.9808725524613713,2.5752995184374456,Non-recessionary Period
1982-08-01,1.8642208777091975,1.0488854265524796,2.660155548316976,Non-recessionary Period
1982-09-01,2.0075534805641353,1.1976179954823905,2.8176756239969016,Non-recessionary Period
1982-10-01,2.156450543539012,1.3510970706637802,2.951511138553567,Non-recessionary Period
1982-11-01,2.2541523888318187,1.447908900303375,3.04992394298327,Non-recessionary Period
1982-12-01,2.358224315876373,1.550036534521999,3.156703256251207,Non-recessionary Period
1983-01-01,2.5358061423912077,1.7310319587620002,3.343240129868059,Non-recessionary Period
1983-02-01,2.694275574820384,1.8908745406991982,3.509011616228781,Non-recessionary Period
1983-03-01,2.8401477621337143,2.0443156054207763,3.646346017411619,Non-recessionary Period
1983-04-01,3.067725949203756,2.2523334910106447,3.879103913738342,Non-recessionary Period
1983-05-01,3.2505484195774015,2.4466770087406613,4.0632036283056765,Non-recessionary Period
1983-06-01,3.3574447548962594,2.561417719650974,4.178528393884331,Non-recessionary Period
1983-07-01,3.324975844802766,2.5171308365443834,4.126644179282138,Non-recessionary Period
1983-08-01,3.2433103705281687,2.433492256430014,4.041511588061775,Non-recessionary Period
1983-09-01,3.2152356263409234,2.407942872753903,4.024729657312023,Non-recessionary Period
1983-10-01,3.1992500387520213,2.3881548825616097,3.992065890265811,Non-recessionary Period
1983-11-01,3.13224023169772,2.338859327717294,3.936628192143655,Non-recessionary Period
1983-12-01,3.0677857206779127,2.2632944748183967,3.8724823766968695,Non-recessionary Period
1984-01-01,3.0747422425269546,2.269362586317137,3.881347838670304,Non-recessionary Period
1984-02-01,3.077830594779622,2.2709068041040066,3.881560208995506,Non-recessionary Period
1984-03-01,3.059686990669304,2.249264922684226,3.861565301670573,Non-recessionary Period
1984-04-01,3.111862275491206,2.297449931579796,3.9162438841292913,Non-recessionary Period
1984-05-01,3.138157693980848,2.329655836297586,3.9321914643510465,Non-recessionary Period
1984-06-01,3.074697265095934,2.2610177131112135,3.8792882814714393,Non-recessionary Period
1984-07-01,2.9739565112016333,2.171554593624141,3.767853894701296,Non-recessionary Period
1984-08-01,2.888242000191428,2.0755191356259646,3.6964054596002285,Non-recessionary Period
1984-09-01,2.86738691836226,2.0431518205365324,3.683752310162328,Non-recessionary Period
1984-10-01,2.8495493397375644,2.0438096881674084,3.6580695002741876,Non-recessionary Period
1984-11-01,2.779314777390356,1.9738138976745636,3.5840802393219873,Non-recessionary Period
1984-12-01,2.717997858909544,1.927297399388301,3.521722801256189,Non-recessionary Period
1985-01-01,2.726369416658283,1.9158616713377608,3.5244348765564504,Non-recessionary Period
1985-02-01,2.730123862132528,1.919299535252776,3.551142461893218,Non-recessionary Period
1985-03-01,2.709587314377852,1.924815044077941,3.511431110248371,Non-recessionary Period
1985-04-01,2.7631326297564507,1.9479114172945893,3.5808853849034756,Non-recessionary Period
1985-05-01,2.789339278431353,1.9879657067308478,3.5970407165612737,Non-recessionary Period
1985-06-01,2.7269393321393123,1.9304498897532496,3.531592977909198,Non-recessionary Period
1985-07-01,2.626378647365889,1.807985723049621,3.4113359472328555,Non-recessionary Period
1985-08-01,2.5418558424991113,1.7268054418059515,3.3416649329229258,Non-recessionary Period
1985-09-01,2.5140406479339052,1.714981831219161,3.3277014347726266,Non-recessionary Period
1985-10-01,2.5011935883916863,1.6930969965937863,3.313896890560329,Non-recessionary Period
1985-11-01,2.4341345003491455,1.6295432893175976,3.2388258460820074,Non-recessionary Period
1985-12-01,2.378594908635149,1.5683427165208703,3.1789498453178813,Non-recessionary Period
1986-01-01,2.3999119648333456,1.5858394712103059,3.194348430362882,Non-recessionary Period
1986-02-01,2.4148436139737735,1.615725060287028,3.2233949750287714,Non-recessionary Period
1986-03-01,2.404672756841138,1.5967097840900417,3.204737593495428,Non-recessionary Period
1986-04-01,2.469535144192903,1.66925357630451,3.260580063478401,Non-recessionary Period
1986-05-01,2.5100634640550035,1.705166841081399,3.3176114143487703,Non-recessionary Period
1986-06-01,2.4588334770573304,1.6563560765637713,3.2677258952835047,Non-recessionary Period
1986-07-01,2.369879896434511,1.5664378944497657,3.1661357221610062,Non-recessionary Period
1986-08-01,2.299262479840544,1.4919686646273942,3.1025733466213783,Non-recessionary Period
1986-09-01,2.2799368206876647,1.465490439959296,3.081150697927959,Non-recessionary Period
1986-10-01,2.280327646220302,1.4708178479501173,3.092766320157885,Non-recessionary Period
1986-11-01,2.2258363564089114,1.4158888333624173,3.0321028616493546,Non-recessionary Period
1986-12-01,2.170341498167806,1.3623938289920734,2.9701506465895617,Non-recessionary Period
1987-01-01,2.1911500988899713,1.3832032558669822,2.98502994939409,Non-recessionary Period
1987-02-01,2.2062514904649317,1.4119139981903417,3.008323870148047,Non-recessionary Period
1987-03-01,2.196609858134272,1.3958804197876367,3.010020727049461,Non-recessionary Period
1987-04-01,2.2624289928992534,1.4513317066795355,3.0559949496256498,Non-recessionary Period
1987-05-01,2.302510282298257,1.5064688583580572,3.1087059060470033,Non-recessionary Period
1987-06-01,2.250496325190144,1.440332995427242,3.0605399760332563,Non-recessionary Period
1987-07-01,2.161882937484094,1.3496213863070345,2.960333336479088,Non-recessionary Period
1987-08-01,2.0901919634344504,1.293736229583279,2.890792237290456,Non-recessionary Period
1987-09-01,2.0712417969334145,1.2633777888940694,2.879964156861994,Non-recessionary Period
1987-10-01,2.0726522660972937,1.2699172109996097,2.8724060001235356,Non-recessionary Period
1987-11-01,2.018128108262579,1.2050483151942064,2.813158749191109,Non-recessionary Period
1987-12-01,1.96276268345852,1.1669158896913332,2.7753224755980415,Non-recessionary Period
1988-01-01,1.9827604165155885,1.1897494814680492,2.78978867796045,Non-recessionary Period
1988-02-01,1.9970740790000483,1.1922388855484842,2.7972017892475605,Non-recessionary Period
1988-03-01,1.9894035514285946,1.190546844894952,2.7881663665963496,Non-recessionary Period
1988-04-01,2.052649172745551,1.2400521944370761,2.859681407679445,Non-recessionary Period
1988-05-01,2.063946182019936,1.2547762231527306,2.874709797793423,Non-recessionary Period
1988-06-01,1.988205922147085,1.190732530980678,2.7936391526759876,Non-recessionary Period
1988-07-01,1.8764164793500502,1.0747553162690913,2.674003930020011,Non-recessionary Period
1988-08-01,1.781901146066492,0.9767363002473581,2.5935272796646065,Non-recessionary Period
1988-09-01,1.747125566572772,0.9280529035273153,2.5625062352736334,Non-recessionary Period
1988-10-01,1.7167491611350574,0.9060817233262719,2.514132180104027,Non-recessionary Period
1988-11-01,1.6386862194959497,0.8341058284445954,2.445004366705276,Non-recessionary Period
1988-12-01,1.5645771484174211,0.752644772201848,2.3619945525371797,Non-recessionary Period
1989-01-01,1.5590100261758997,0.7586592353635732,2.3641927194111108,Non-recessionary Period
1989-02-01,1.5537525057351838,0.7453626022474507,2.369280900452233,Non-recessionary Period
1989-03-01,1.5228338246193074,0.7142603995570128,2.3202652290797094,Non-recessionary Period
1989-04-01,1.5648331343620028,0.7599377201234832,2.370197620890169,Non-recessionary Period
1989-05-01,1.5802668014943335,0.7816003879803485,2.404118412459911,Non-recessionary Period
1989-06-01,1.5037512620308708,0.6917691879380728,2.309844811415061,Non-recessionary Period
1989-07-01,1.3918363454734057,0.5856167841652193,2.177281574974057,Non-recessionary Period
1989-08-01,1.2969919382217157,0.48349654163468025,2.103896955600809,Non-recessionary Period
1989-09-01,1.2619003255400143,0.455795141480131,2.0691884121393356,Non-recessionary Period
1989-10-01,1.2331548814015794,0.42310446473210017,2.033697880037881,Non-recessionary Period
1989-11-01,1.1556354931256139,0.36543148149462956,1.9679667650310226,Non-recessionary Period
1989-12-01,1.0789929194194212,0.27745708053441914,1.8787102117781296,Non-recessionary Period
1990-01-01,1.0750018451732193,0.2662565029784054,1.8723024481174453,Non-recessionary Period
1990-02-01,1.0690229487213632,0.2639671423694405,1.8704186546065413,Non-recessionary Period
1990-03-01,1.038433598066442,0.23342985052588067,1.840950574417556,Non-recessionary Period
1990-04-01,1.079463988187209,0.2753677827761395,1.888819660336982,Non-recessionary Period
1990-05-01,1.0955986885418145,0.289741418423833,1.9019836678049935,Non-recessionary Period
1990-06-01,1.0207597164464297,0.2243008739915239,1.8356240366930356,Non-recessionary Period
1990-07-01,0.9085824748348872,0.09979872199557391,1.7096399185689382,Non-recessionary Period
1990-08-01,0.820692433084725,0.0250848515548442,1.6287908682895564,Non-recessionary Period
1990-09-01,0.9005431663210309,0.0976700231385406,1.7088804540520166,Non-recessionary Period
1990-10-01,1.0211812641865963,0.21234782996852192,1.8346009532643124,Non-recessionary Period
1990-11-01,1.0934821645888817,0.2765913194845592,1.9060322372412557,Non-recessionary Period
1990-12-01,1.1656410462155287,0.35725456014888285,1.9828826352852755,Non-recessionary Period
1991-01-01,1.3186955884987723,0.5205051044365023,2.1394006367454166,Non-recessionary Period
1991-02-01,1.4563105034787895,0.6541306253428921,2.2533635230234745,Non-recessionary Period
1991-03-01,1.5635168635670367,0.7546661462868366,2.372795153619104,Non-recessionary Period
1991-04-01,1.7553621049002828,0.9446698226459621,2.5694267419150068,Non-recessionary Period
1991-05-01,1.9264060992671312,1.1148302924656421,2.7372597576890567,Non-recessionary Period
1991-06-01,2.0037886932774662,1.197510356058414,2.79711382376298,Non-recessionary Period
1991-07-01,2.04309448370844,1.2412197439469888,2.8489949388288256,Non-recessionary Period
1991-08-01,2.100382961321347,1.3014168334201706,2.9106223999300593,Non-recessionary Period
1991-09-01,2.2113032084912385,1.4081901242684776,3.025388928885616,Non-recessionary Period
1991-10-01,2.3366012318203215,1.5208246682634274,3.144901484325887,Non-recessionary Period
1991-11-01,2.4072622249461775,1.597387660670884,3.221318838852487,Non-recessionary Period
1991-12-01,2.4781567285393535,1.6722825893892121,3.2722168016003303,Non-recessionary Period
1992-01-01,2.634804104662373,1.8218091879594636,3.430696080011908,Non-recessionary Period
1992-02-01,2.772669324968057,1.9627559040247073,3.5745393786953783,Non-recessionary Period
1992-03-01,2.886443312754413,2.0798226261754715,3.686596820127711,Non-recessionary Period
1992-04-01,3.082303009299409,2.2783867754753846,3.8900514250184166,Non-recessionary Period
1992-05-01,3.242370209777529,2.4461957461524957,4.040513686498257,Non-recessionary Period
1992-06-01,3.318048906534652,2.51575590016332,4.1161396381118935,Non-recessionary Period
1992-07-01,3.362974417841917,2.5459684931109243,4.156089021718321,Non-recessionary Period
1992-08-01,3.4156177441807873,2.603026028582308,4.221281858186345,Non-recessionary Period
1992-09-01,3.5292211351319596,2.7155040761967983,4.342005445557378,Non-recessionary Period
1992-10-01,3.6546603005364138,2.8484901944398637,4.453784181659402,Non-recessionary Period
1992-11-01,3.7230853860202244,2.9134271933900915,4.5181784001257554,Non-recessionary Period
1992-12-01,3.798004814936236,2.9863242906420666,4.598628678872493,Non-recessionary Period
1993-01-01,3.91031593609221,3.0931710712139178,4.716084202292754,Non-recessionary Period
1993-02-01,3.8686513694717424,3.066724149126068,4.67860638660157,Non-recessionary Period
1993-03-01,3.7864234923829656,2.9764288243178676,4.591380972053,Non-recessionary Period
1993-04-01,3.780141754743659,2.9731388225433335,4.581137295469222,Non-recessionary Period
1993-05-01,3.743517515481259,2.9428839018681296,4.55220305030558,Non-recessionary Period
